BWV,2a,Date,Name,Key,Scoring,BG,NBE,Additional info,BD
14/5,1.,1735-01-30,"chorale setting ""Wär Gott nicht mit uns diese Zeit"" (s. 3)",G min.,SATB,2: 132,III/2.1: 88 III/2.2: 103,after Z 4434; text by Luther,11250
16,1.,1726-01-01,"Cantata Herr Gott, dich loben wir (New Year/Circumcision)",A min.,atbSATB Hn 2Ob Odc Str Bc,2: 173,I/4: 103,"after Z 8652 (/1), 5267 (/6; → BWV 419); text by Lehms, Luther (/1), Eber (/6)",00018
16,1.,1731-01-01,"Cantata Herr Gott, dich loben wir (New Year/Circumcision)",A min.,atbSATB Hn 2Ob Va Str Bc,2: 173,I/4: 103,"after Z 8652 (/1), 5267 (/6; → BWV 419); text by Lehms, Luther (/1), Eber (/6)",00018
16/6,1.,1726-01-01,"chorale setting ""Helft mir Gotts Güte preisen"" (s. 6)",A min.,SATB,2: 198,III/2.2: 56,after Z 5267; text by Eber,11324
17,1.,1726-09-22,"Cantata Wer Dank opfert, der preiset mich (Trinity XIV)",A maj.,satbSATB 2Ob Str Bc,2: 199,I/21: 147,"after Z 8244 (/7); text: Meiningen, after Ps 50:23 (/1; → BWV 236/6), Lk 17:15–16 (/4), by Gramann (/7)",00019
17/7,1.,1726-09-22,"chorale setting ""Nun lob, mein Seel, den Herren"" (s. 3)",A maj.,SATB,2: 225,III/2.2: 4,after Z 8244; text by Gramann,11330
18.2,1.,1724-02-13,Cantata Gleichwie der Regen und Schnee vom Himmel fällt (Sexagesima),A min.,stbSATB 2Fl Bas 4Va Vc Bc,2: 227 (in g),I/7: 107,"after BWV 18.1; text by Neumeister, after Is 55:10–11 (/2), Luther (/3), by Spengler (/5)",00020
18/5,1.,1724-02-13,"chorale setting ""Durch Adams Fall ist ganz verderbt"" (s. 8)",A min.,SATB,2: 252 (in g),III/2.2: 71,after Z 7549; text by Spengler,11301
18/5,1.,1715-02-24,"chorale setting ""Ich ruf zu dir, Herr Jesu Christ""",G min.,SATB,2: 252 (in g),III/2.2: 56,after Z 7549; text by Agricola,11301
18.1,1.,1715-02-24,Cantata Gleichwie der Regen und Schnee vom Himmel fällt (Sexagesima),G min.,stbSATB Bas 4Va Vc Bc,,I/7: 81,"after Z 7549 (/5); text by Neumeister, after Is 55:10–11 (/2), Luther (/3), by Spengler (/5); → BWV 18.2",00021
19,1.,1726-09-29,Cantata Es erhub sich ein Streit (Michaelmas),C maj.,stbSATB 3Tr Tmp 2Ob 2Oba Tai Str Bc,2: 253,I/30: 55,after Z 6543 (/7); text after Picander,00022
19/7,1.,1726-09-29,"chorale setting ""Freu dich sehr, o meine Seele"" (s. 9)",C maj.,SATB,2: 288,III/2.1: 62 III/2.2: 177,after Z 6543,11227
19/7,1.,1726-09-29,"chorale setting ""Weg, mein Herz, mit den Gedanken""",C maj.,SATB,2: 288,III/2.1: 62 III/2.2: 177,after Z 6543; text by Gerhardt,11227
20,1.,1724-06-11,"Cantata O Ewigkeit, du Donnerwort (Trinity I)",F maj.,atbSATB Tdt Tmp 3Ob Str Bc,2: 291,I/15: 133,after Z 5820; text after Rist,00023
20/7 20/11,1.,1724-06-11,"chorale setting ""O Ewigkeit, du Donnerwort"" (ss. 11, 16)",F maj.,SATB,"2: 317, 327",III/2.2: 17,after Z 5820; text by Rist,11332
21.1,1.,before Dec. 1713,Cantata Ich hatte viel Bekümmernis (1st version: in ogni tempore; 1714-06-17: Trinity III),C min.,satbSATB 3Tr Tmp Ob Str Bc,,I/16: 109,"after Z 2778 (/9); text by Franck, S.?; text after Ps 94:19 (/2), 42:12 (/6), 116:7 (/9), Rv 5:12–13 (/11), by Neumark (/9); → BWV 21.2",00024
21.2,1.,c. autumn 1720,Cantata Ich hatte viel Bekümmernis (2nd version: in ogni tempore),D min.,satbSATB 3Tr Tmp Ob Str Bas Bc,,I/16,after BWV 21.1 (same text); → BWV 21.3,00025
