BWV,2a,Date,Name,Key,Scoring,BG,NBE,Additional info,BD
188,1.,1728-10-17,Cantata Ich habe meine Zuversicht (Trinity XXI),D min.,satbSATB 2Ob Tai Str Org Bc,37: 193,I/25: 265,after Z 2164 (/6); text by Picander; /1 ↔ BWV 1052/3,00228
190.1,1.,1724-01-01,Cantata Singet dem Herrn ein neues Lied (New Year; incomplete),D maj.,atbSATB 3Tr Tmp 3Ob Oba Bas Str Bc,37: 227,I/4: 1,"after Z 8652 (/1–/2), 8477a (/7); text by Luther (/1–/2), Hermann (/7); → BWV 190.2/1, /2, /3, /5",00230
190/7,1.,1724-01-01,"chorale setting ""Jesu, nun sei gepreiset"" (s. 2)",D maj.,SATB,37: 257,III/2.2: 189,after 8477a; text by Hermann (/7),11306
190.2,1.,1730-06-25,Cantata Singet dem Herrn ein neues Lied (200th anniversary of the Augsb. Confess.; incomplete),,atbSATB 3Tr Tmp 3Ob Str Bc (?),,I/34,"after BWV 190/1, /2, /3, /5; text by Picander, Luther (/1–/2, /7)",00231
191,1.,1743–1746,Cantata Gloria in excelsis Deo (Christmas),D maj.,stSSATB 3Tr Tmp 2Fl 2Ob Str Bc,41: 1,I/2: 171,"after BWV 232/4, /5, /8, /12; text: Lk 2:14, doxology",00232
192,1.,autumn 1730?,Cantata Nun danket alle Gott (incomplete),G maj.,sbSATB 2Fl 2Ob Str Bc,41: 65,I/34: 107,after Z 5142; text by Rinkart,00233
193.2,1.,1727-08-25,Cantata Ihr Tore zu Zion (council election; incomplete),D maj.,saSA(TB) 2Ob Str (Bc),41: 91,I/32.1: 201,"after BWV 193.1/1, /7, /9",00234
193.1,1.,1727-08-03,"Secular cantata Ihr Häuser des Himmels, ihr scheinenden Lichter (name day of Friedrich August II; incomplete)",,saSA(TB) 2Ob Str (Bc),,I/36,"text by Picander; → BWV 193.2/1, /3, /5",00235
194.3,1.,1724-06-04 1731-05-20,Cantata Höchsterwünschtes Freudenfest (Trinity; 1st Leipzig version),B♭ maj.,stbSATB 3Ob Bas Str Bc,29: 99,I/31: 145,after BWV 194.2 (same text); → BWV 194.4,00236
194.4,1.,1726-06-16,"Cantata Nun lasst uns Gott, dem Herren? (Trinity; 2nd Leipzig version)",B♭ maj.,stbSATB 3Ob Bas Str Bc,29: 99,"I/31: 145, 235","after BWV 194.3/12, /2, /3, /4, /5, /7, /10",00237
194.2,1.,1723-11-02,Cantata Höchsterwünschtes Freudenfest (Störmthal version: consecration of church and organ),B♭ maj.,sabSATB 3Ob Bas Str Bc,29: 99,I/31: 123,"after BWV 194.1/1, /3, /5, /7, /9, Z 6543 (/6), 159 (/12); text by Heermann (/6), Gerhardt (/12); → BWV 194.3",00238
194.2/6,1.,1723-11-02,"chorale setting ""Treuer Gott, ich muß dir klagen"" (ss. 6–7)",B♭ maj. G maj.,SATB,29: 124,"III/2.1: 20 III/2.2: 35, 152",after Z 6543; text by Heermann,11184
194.2/6,1.,1723-11-02,"chorale setting ""Jesu, deine tiefen Wunden""",B♭ maj. G maj.,SATB,29: 124,"III/2.1: 20 III/2.2: 35, 152",after Z 6543; text by Heermann,11184
194.2/6,1.,1723-11-02,"chorale setting ""Freu dich sehr, o meine Seele""",B♭ maj. G maj.,SATB,29: 124,"III/2.1: 20 III/2.2: 35, 152",after Z 6543,11184
194.2/12,1.,1723-11-02,"chorale setting ""Wach auf, mein Herz, und singe"" (ss. 9–10)",B♭ maj.,SATB,29: 138,"III/2.1: 20 III/2.2: 52, 152",after Z 159; text by Gerhardt,11185
194.2/12,1.,1723-11-02,"chorale setting ""Nun lasst uns Gott dem Herren""",B♭ maj.,SATB,29: 138,"III/2.1: 20 III/2.2: 52, 152",after Z 159; text by Helmbold,11185
194.1,1.,1717–1723?,Secular cantata model for church cantata versions of BWV 194 (incomplete),B♭ maj.,3Ob Str &?,,I/35,"→ BWV 194.2/1, /3, /5, /8, /10",00239
195.3,1.,c.1748–1749,Cantata Dem Gerechten muß das Licht (wedding; last version),D maj.,satbSATB 3Tr Tmp 2Hn 2Fl 2Ob 2Oba Str Bc,131: 1,I/33: 171,"after BWV 195.2, Z 198 (/6); text after Ps 97:11–12 (/1), by Gerhardt (/6)",00242
195.1,1.,1727–1731,"Cantata Dem Gerechten muß das Licht (wedding; 1st version, lost)",,SATB 3Tr Tmp 2Fl 2Ob Str Bc,,I/33,→ BWV 195.2,00240
195.2,1.,c. 1742,"Cantata Dem Gerechten muß das Licht (wedding; 2nd version, incomplete)",,SATB &?,,I/33,"after BWV 195.1, 30.1/5, /1 (/6, /8); text after Ps 97:11–12 (/1); → BWV 195.3",00241
196,1.,1708-06-05?,Cantata Der Herr denket an uns (wedding),C maj.,stbSATB Str Bc,131: 71,I/33: 1,text after Ps. 115: 12–15,00243
197.2,1.,1736–1737,Cantata Gott ist unsre Zuversicht (wedding),D maj.,sabSATB 3Tr Tmp 2Ob 2Oba Bas Str Bc,131: 95,I/33: 117,"after Z 2029a (/5), 2778 (/10), BWV 197.1/4, /6 (/6, /8); text by Luther (/5)",00244
197.2/5,1.,1736–1737,"chorale setting ""Nun bitten wir den Heiligen Geist"" (s. 3)",A maj.,SATB,131: 128,III/2.2: 46,after Z 2029a; text by Luther,11328
197.2/10,1.,1736–1737,"chorale setting ""Wer nur den lieben Gott lässt walten""",B min.,SATB,131: 144,III/2.2: 37,after Z 2778; text by Neumark,11313
197.1,1.,1728-12-25,Cantata Ehre sei Gott in der Höhe (Christmas; incomplete),D maj.,abSATB 2Fl Oba Bas Str Vc Bc,41: 109,I/2: 63,"after Z 5206b–c (/7); text by Picander, Ziegler, C. (/7; ↔ BWV 398), after Lk 2:14 (/1); /4 & /6 → BWV 197.2/6, /8",00245
197.1/7,1.,1728-12-25,"chorale setting ""Ich freue mich in dir"" (s. 4)",D maj.,SATB,41: 114,III/2.2: 182,"after Z 5206b–c; text by Ziegler, C.; ↔ BWV 398",11298
197.1/7,1.,1728-12-25,"chorale setting ""O Gott, du frommer Gott""",D maj.,SATB,41: 114,III/2.2: 182,after Z 5206b–c; text by Heermann; ↔ BWV 398,11298
198,1.,1727-10-17,"Secular cantata Laß, Fürstin, laß noch einen Strahl a.k.a. Trauer-Ode (funeral ceremony for Christiane Eberhardine)",B min.,satbSATB 2Fl 2Ob 2Oba Str 2Vdg 2Lu Bc,133: 1 44: 54,I/38: 179,"text by Gottsched, J. C.; ↔ BWV 244a, 247",00246
199.2,1.,1720–1721,Cantata Mein Herze schwimmt im Blut (Trinity XI; Köthen version; incomplete),D min.,s Ob Str Vdg Bc,41: 202,I/20: 48,after BWV 199.1 (same text); → 199.3,00247
199.3,1.,1723-08-08,Cantata Mein Herze schwimmt im Blut (Trinity XI; Leipzig version),D min.,s Ob Str Vc Bc,,I/20: 23,after BWV 199.2 (same text),00248
199.1,1.,1714-08-12,Cantata Mein Herze schwimmt im Blut (Trinity XI; Weimar version),C min.,s Ob Str Bc,NBG 132,I/20: 1,"text by Lehms, Heermann (/6); → BWV 199.2",00249
200,1.,1742–1743 (JSB),Aria Bekennen will ich seinen Namen,E maj.,a (2Vl) Bc,,I/28.1: 189,after Stölzel; text after Lk 2:29–32,00250
201,1.,autumn 1729,"Secular cantata Geschwinde, ihr wirbelnden Winde a.k.a. Der Streit zwischen Phoebus und Pan (dramma per musica)",D maj.,sattbb 3Tr Tmp 2Fl 2Ob Oba Str Bc,112: 1 44: 85,I/40: 117,text by Picander; /7 → BWV 212/20,00251
202,1.,c.1718?,"Secular cantata Weichet nur, betrübte Schatten (wedding)",G maj.,s Ob Str Bc,112: 73,I/40: 1,in D-LEb Peters Ms. R 8,00252
203,1.,c.1720?,Secular cantata Amore traditore,A min.,b Hc,112: 91,I/41: 31,,00253
204,1.,1726–1727,Secular cantata Ich bin in mir vergnügt a.k.a. Von der Vergnügsamkeit,B♭ maj.,s Fl 2Ob Str Bc,112: 103,I/40: 79,text after Hunold,00254
205.1,1.,1725-08-03,"Secular cantata Zerreißet, zersprenget, zertrümmert die Gruft a.k.a. Der zufriedengestellte Aeolus (dramma per musica for August Friedrich Müller)",D maj.,satbSATB 3Tr Tmp 2Hn 2Fl 2Ob Oba Str Va Vdg Bc,112: 137 44: 39,I/38: 1,"text by Picander; → BWV 205.2/1–/7, /9–/11, /13, /15, 171/4, 216/7",00255
205.2,1.,1734-02-19,"Secular cantata Blast Lärmen, ihr Feinde (dramma per musica; music lost but largely reconstructable; coronation of Augustus III)",,satbSATB 3Tr Tmp 2Hn 2Fl 2Ob Oba Str Va Vdg Bc,,I/37,"after BWV 205.1/1–/7, /9–/11, /13, /15; text by Picander?",00256
206.1,1.,1736-10-07 (1734?),"Secular cantata Schleicht, spielende Wellen (dramma per musica; 1st version: birthday of Augustus III)",D maj.,satbSATB 3Tr Tmp 3Fl 2Oba Str Bc,202: 1,I/36: 157,→ BWV 206.2,00257
206.2,1.,1740-08-03,"Secular cantata Schleicht, spielende Wellen (dramma per musica; 2nd version: name day of Augustus III)",D maj.,satbSATB 3Tr Tmp 3Fl 2Ob 2Oba Str Bc,,I/36: 157,after BWV 206.1,00258
207.1,1.,1726-12-11,Secular cantata Vereinigte Zwietracht der wechselnden Saiten (dramma per musica; appointment of professor Gottlieb Kortte),D maj.,satbSATB 3Tr Tmp 2Fl 2Oba Tai Str Bc,202: 71,I/38: 97,"after BWV 1046/3 (/1); → BWV 207.2/1, /3, /5, /7–/9",00259
207.2,1.,1735-08-03,"Secular cantata Auf, schmetternde Töne der muntern Trompeten (dramma per musica; name day of Augustus III)",D maj.,satbSATB 3Tr Tmp 2Fl 2Oba Tai Str Bc,202: 139 34: 345,I/37: 1,"after BWV 207.1/1, /3, /5, /7–/9",00260
208.1,1.,1713-02-23,"Secular cantata Was mir behagt, ist nur die muntre Jagd a.k.a. Hunting Cantata (1st version: birthday of Christian of Saxe-Weissenfels)",F maj.,sstb 2Hn 2Fl 2Ob Tai Bas Str Vc Bc (Vne),29: 1,I/35: 1,"text by Franck, S.; → BWV 208.2, 1040, 68/4, /2, 149/1",00261
1040,1.,1713-02-23,Trio (a.k.a. (Canonic) Trio Sonata; postlude to the Hunting Cantata?),F maj.,Vl Ob Bc,29: 230,I/35: 1,after BWV 208.1/13; =BWV 208.1/13a,01222
208.2,1.,c.1715,"Secular cantata Was mir behagt, ist nur die muntre Jagd a.k.a. Hunting Cantata (2nd version: for Ernst August I of Saxe-Weimar)",F maj.,sstb 2Hn 2Fl 2Ob Tai Bas Str Vc Bc (Vne),29: 1,I/35: 1,after BWV 208.1 (near-identical text); → BWV 208.3,00262
208.3,1.,1742-08-03,"Secular cantata Was mir behagt, ist nur die muntre Jagd (3rd version: name day of Augustus III)",F maj.,sstb 2Hn 2Fl 2Ob Tai Bas Str Vc Bc (Vne)?,,I/37,"after BWV 208.2; text after Franck, S.",00263
209,1.,1747?,Secular cantata Non sa che sia dolore (farewell of Lorenz Albrecht Beck?),B min.,s Fl Str Bc,29: 43,I/41: 43,text after Metastasio,00264
210.2,1.,1741-09-19,"Secular cantata O holder Tag, erwünschte Zeit (wedding)",A maj.,s Fl Oba Str Hc Vne,29: 67,I/40: 35,"after BWV 210.1/1–/2, /4, /8, /10",00265
210.1,1.,1729-01-12,Secular cantata O angenehme Melodei (incomplete; homage to Christian of Saxe-Weissenfels),A maj.,s (Fl Oba Str Bc)?,29: 245,I/39: 141,"→ BWV 210.2/1–/2, /4, /8, /10",00266
211,1.,c.1734,"Secular cantata Schweigt stille, plaudert nicht a.k.a. Coffee Cantata",G maj.,stb Fl Str Hc Bc,29: 139 44: 86,I/40: 193,text by Picander,00267
212,1.,1742-08-30,Secular cantata Mer hahn en neue Oberkeet a.k.a. Peasant Cantata (Cantate burlesque; homage to Carl Heinrich von Dieskau),G maj.,sb Hn Fl Str Bc,29: 173 44: 132,I/39: 151,"after BWV 1157/9 (/14), 201/7 (/20); text by Picander",00268
213,1.,1733-09-05,"Secular cantata Laßt uns sorgen, laßt uns wachen a.k.a. Hercules auf dem Scheidewege (dramma per musica; birthday of Frederick Christian of Saxony)",F maj.,satbSATB 2Hn 2Ob Oba 2Vl 2Va Bc,34: 119,I/36: 1,"text by Picander; /1, /3, /5, /7, /9, /11 → BWV 248/36, /19, /39, /41, /4, /29",00269
214,1.,1733-12-08,"Secular cantata Tönet, ihr Pauken! Erschallet, Trompeten! (birthday of queen Maria Josepha)",D maj.,satbSATB 3Tr Tmp 2Fl 2Ob Oba Str Vne Bc,34: 175,I/36: 89,"text by Picander; /1, /5, /7, /9 → BWV 248/1, /15, /8, /24",00270
215,1.,1734-10-05,"Secular cantata Preise dein Glücke, gesegnetes Sachsen (anniversary of the election of Augustus III as king of Poland)",D maj.,stb2SATB 3Tr Tmp 2Fl 2Ob Oba Str Va Bc,34: 243,I/37: 85,after BWV 1157/1 (/1)?; text by Clauder ; /7 → BWV 248/47,00271
216.1,1.,1728-02-05,Secular cantata Vergnügte Pleißenstadt (wedding; incomplete),C maj.,sa &?,,I/40: 21,"after BWV 204/8 (/3), 205.1/13 (/7); text by Picander; → BWV 216.2/1, /3, /5, /7",00272
216.2,1.,1728–1731,Secular cantata Erwählte Pleißenstadt a.k.a. Apollo et Mercurius (incomplete),,at &?,,I/39,"after BWV 216.1/1, /3, /5, /7; text by Meißner  after Picander",00273
2.,Motets (see also: List of motets by Johann Sebastian Bach),Motets (see also: List of motets by Johann Sebastian Bach),Motets (see also: List of motets by Johann Sebastian Bach),Motets (see also: List of motets by Johann Sebastian Bach),Motets (see also: List of motets by Johann Sebastian Bach),Motets (see also: List of motets by Johann Sebastian Bach),Motets (see also: List of motets by Johann Sebastian Bach),Motets (see also: List of motets by Johann Sebastian Bach),Up ↑
225,2.,1726–1727 New Year?,Motet Singet dem Herrn ein neues Lied,B♭ maj.,2SATB (+colla parte instr.?),39: 3,III/1: 1,"after Z 8244 (/2); text after Ps. 149: 1–3 (/1), by Gramann after Ps. 103 (/2), after Ps. 150: 2, 6 (/3)",00282
226,2.,1729-10-20,"Motet Der Geist hilft unser Schwachheit auf (funeral of Ernesti, J. H.)",B♭ maj.,2SATB Str Vc 2Ob Tai Bas,"39: 39, 143",III/1: 37,"after Z 7445a (/2); text after Rom. 8: 26–27 (/1), by Luther (/2)",00283
226/2,2.,1729-10-20,"chorale setting ""Komm, Heiliger Geist, Herre Gott"" (s. 3)",B♭ maj. G maj.,SATB,39: 57,III/2.1: 18 III/2.2: 38,after Z 7445a; text by Luther,11182
227,2.,c. 1723–1735,"Motet Jesu, meine Freude",E min.,SSATB (+colla parte instr.?),39: 59,III/1: 75,"after Z 8032 (odd mvts); text by Franck, J. (odd mvts), after Rom. 8: 1–2, 9–11 (even mvts)",00284
227/1 227/11,2.,c. 1723–1735,"chorale setting ""Jesu, meine Freude"" (ss. 1, 6)",E min.,SATB,39: 61,III/2.1: 27 III/2.2: 156,"after Z 8032; text by Franck, J.",11200
227/3,2.,c. 1723–1735,"chorale setting ""Jesu, meine Freude"" (s. 2)",E min.,SATB,39: 66,III/2.1: 28,"after Z 8032; text by Franck, J.",11201
227/7,2.,c. 1723–1735,"chorale setting ""Jesu, meine Freude"" (s. 4)",E min.,SATB,39: 75,III/2.1: 22 III/2.2: 168,"after Z 8032; text by Franck, J.",11202
228,2.,c. 1715,Motet Fürchte dich nicht,A maj.,2SATB (+colla parte instr.?),39: 85,III/1: 105,"after Z 6461 (/2); text after Is. 41: 10 (/1), 43: 1 (/2), by Gerhardt (/2)",00285
229,2.,before 1731–1732,"Motet Komm, Jesu, komm",G min.,2SATB (+colla parte instr.),39: 107,III/1: 125,text by Thymich,00286
230,2.,1723–1739?,"Motet Lobet den Herrn, alle Heiden",C maj.,SATB Bc (+colla parte instr.?),39: 127,III/1: 147,text after Ps. 117,00287
231,,,,,,,,see BWV 28/2a,00288
118.1,2.,1736–1737,"Motet O Jesu Christ, meins Lebens Licht (funeral)",B♭ maj.,SATB 2Hn Cnt 3Tbn,24: 185,III/1: 163,text by Behm; → BWV 118.2,00143
118.2,2.,1746–1747,"Motet O Jesu Christ, meins Lebens Licht (funeral)",B♭ maj.,SATB 2Ob Tai Bas 2Hn Str Bc,NBG 171,III/1: 171,text by Behm; after BWV 118.1,11121
3.,"Masses, Mass movements, Magnificat (see also: List of Masses, Mass movements and Magnificats by Johann Sebastian Bach)","Masses, Mass movements, Magnificat (see also: List of Masses, Mass movements and Magnificats by Johann Sebastian Bach)","Masses, Mass movements, Magnificat (see also: List of Masses, Mass movements and Magnificats by Johann Sebastian Bach)","Masses, Mass movements, Magnificat (see also: List of Masses, Mass movements and Magnificats by Johann Sebastian Bach)","Masses, Mass movements, Magnificat (see also: List of Masses, Mass movements and Magnificats by Johann Sebastian Bach)","Masses, Mass movements, Magnificat (see also: List of Masses, Mass movements and Magnificats by Johann Sebastian Bach)","Masses, Mass movements, Magnificat (see also: List of Masses, Mass movements and Magnificats by Johann Sebastian Bach)","Masses, Mass movements, Magnificat (see also: List of Masses, Mass movements and Magnificats by Johann Sebastian Bach)",Up ↑
232,3.,"Aug. 1748 – Oct. 1749 (compilation, completion)","Mass a.k.a. Hohe Messe, Mass in B minor",B min.,ssatbSSAATB 3Tr Tmp Hn 2Fl 3Ob 2Oba 2Bas Vl Str Bc,6,II/1 rev 1,"after BWV 232I e. v., II e. v., III e. v., 171/1, 12/2, 120/2, Anh. 11/1, Anh. 196/3; text after Ordinarium Missae",00289
232I e. v.,3.,1733-07-27,"Kyrie–Gloria Mass for the Dresden court (Mass in B Minor, Part I: Missa; early version)",B min.,ssatbSSATB 3Tr Tmp Hn 2Fl 2Oba 2Bas Vl Str Bc,,II/1a,"after BWV 29/1, 46/1; text from Ordinarium Missae; → BWV 191, 232I",00290
233,3.,1738–1739?,Kyrie–Gloria Mass,F maj.,sabSATB 2Hn 2Ob Bas Str Bc,8: 1,II/2: 197,"after BWV 233a, 102/3, /5, 40/1; text from Ordinarium Missae",00291
233a,3.,1708-04-06?,"Kyrie ""Christe, du Lamm Gottes""",F maj.,SSATB Bc,41: 187,II/2: 285,text after Ordinarium Missae; → BWV 233/1,00292
234,3.,c.1738,Kyrie–Gloria Mass,A maj.,sabSATB 2Fl Str Bc,8: 51,II/2: 1,"after BWV 67/6, 138/5, 179/5, 79/2; text from Ordinarium Missae",00293
235,3.,1738–1739?,Kyrie–Gloria Mass,G min.,atbSATB 2Ob Str Bc,8: 99,II/2: 127,"after BWV 102/1, 72/1, 187/4, /3, /5, /1; text from Ordinarium Missae",00294
236,3.,1738–1739?,Kyrie–Gloria Mass,G maj.,satbSATB 2Ob Str Bc,8: 155,II/2: 61,"after BWV 179/1, /3, 79/1, /5, 138/5, 17/1; text from Ordinarium Missae",00295
1081,3.,c.1747 – Aug. 1748,Credo intonation for Mass No. 5 in F major of G. B. Bassani's Acroama Missale,F maj.,SATB Bc,,II/2,→ BNB I/B/48; text from Credo,01267
237,3.,1723-06-24?,Sanctus,C maj.,SATB 3Tr Tmp 2Ob Str Bc,111: 67,II/2: 311,text from Sanctus,00296
238,3.,1723-12-25 1736–1737,Sanctus,D maj.,SATB Cnt Str Bc,111: 79,II/2: 325,text from Sanctus,00297
240,3.,1742 (JSB),Sanctus,G maj.,SATB 2Ob Str Bc,111: 93,II/9: 3,text from Sanctus,00299
241,3.,Jul. 1747 – Aug. 1748 (JSB),Sanctus of Missa superba,D maj.,2SATB 2Oba 2Vl 3Va Bas Vc Vne Bc,41: 177,II/9: 45,after Kerll; text from Sanctus,00300
242,3.,1727–1732 (JSB),Christe eleison for a Kyrie-Gloria Mass in C minor by F. Durante,G min.,SA Bc,41: 197,II/2: 295,text from Kyrie; → BWV Anh. 26/2,00301
243.2,3.,1733-07-02? 1732–1735,Magnificat (2nd version: Visitation?),D maj.,ssatbSSATB 3Tr Tmp 2Fl 2Ob 2Oba Str Bas Vc Vne Bc,111: 1,II/3: 65,after BWV 243.1 (same text),00302
243.1,3.,1723-07-02 1723-12-25,"Magnificat (1st version:Visitation, and with 4 laudes added: Christmas)",E♭ maj.,ssatbSSATB 3Tr Tmp 2Fl 2Ob Str Bc,111: 103,II/3: 1,after Magnificat peregrini toni (/10); text: Magnificat; → BWV 243.2,00303
1082,3.,1740–1742 (JSB),Suscepit Israel from a Magnificat by A. Caldara,E min.,SATB 2Vl Bc,,II/9: 59,after Caldara (BNB I/C/1); text from Magnificat,01268
1083,3.,1745–1747 (JSB),"Cantata Tilge, Höchster, meine Sünden",,sa 2Vl Str Vne Vc Bc,,I/41: 169,after Pergolesi (Stabat Mater); text after Ps. 51,01269
4.,"Passions, Oratorios (see also: List of Passions and Oratorios by Johann Sebastian Bach)","Passions, Oratorios (see also: List of Passions and Oratorios by Johann Sebastian Bach)","Passions, Oratorios (see also: List of Passions and Oratorios by Johann Sebastian Bach)","Passions, Oratorios (see also: List of Passions and Oratorios by Johann Sebastian Bach)","Passions, Oratorios (see also: List of Passions and Oratorios by Johann Sebastian Bach)","Passions, Oratorios (see also: List of Passions and Oratorios by Johann Sebastian Bach)","Passions, Oratorios (see also: List of Passions and Oratorios by Johann Sebastian Bach)","Passions, Oratorios (see also: List of Passions and Oratorios by Johann Sebastian Bach)",Up ↑
244.2,4.,1736-03-30 1742 1743–1746,Passion St Matthew Passion (later versions; Good Friday),E min.,2satb2SATB 2Fl 4Fl 4Ob 4Oba 2Odc 2Str 2Vdg 2Bc,4 44: 58,II/5,"after BWV 244.1, 245.2 (/29); text by Picander, Decius (/1), Heermann (/3, /19, /46), Gerhardt (/10, /15, /17, /37, /44, /54, /62), Albert of Prussia (/25), Heyden (/29), Reusner (/32), Rist (/40), after Mt 26–27, Sng 6:1 (/30)",00304
244a,,,,,,,,see BWV 1143,00305
244.1,4.,1727-04-11,Passion St Matthew Passion (early version; Good Friday),E min.,satb2SATB 4Fl 4Ob 4Oba 2Odc 2Str Lu Bc,,II/5a II/5b,"after Z 4361a (/1), 983 (/3, /19, /46), 2293b (/10, /37), 5385a (/15, /17, /44, /54, /62), 7568 (/25), 3449 (/29), 2461c (/32), 6551 (/40); text by Picander, Heermann (/3, /19, /46), Gerhardt (/10, /15, /17, /37, /44, /54, /62), Albert of Prussia (/25), Keymann (/29), Reusner (/32), Rist (/40), after Mt 26–27, Sng 6:1 (/30); ↔ BWV 198, 1143; → BWV 244.2",00306
244/3,4.,1727-04-11,"chorale setting ""Herzliebster Jesu"" (s. 1)",B min.,SATB,4: 23,III/2.2: 43,after Z 983; text by Heermann,11349
244/10,4.,1727-04-11,"chorale setting ""O Welt, sieh hier dein Leben"" (s. 5)",A♭ maj.,SATB,4: 42,III/2.2: 66,after Z 2293b; text by Gerhardt,11351
244/10,4.,1727-04-11,"chorale setting ""Nun ruhen alle Wälder""",A♭ maj.,SATB,4: 42,III/2.2: 66,after Z 2293b; text by Gerhardt,11351
244/15,4.,1727-04-11,"chorale setting ""O Haupt voll Blut und Wunden"" (s. 5)",E maj. D maj.,SATB,4: 51,III/2.2: 55,after Z 5385a; text by Gerhardt,11358
244/17,4.,1727-04-11,"chorale setting ""O Haupt voll Blut und Wunden"" (s. 6; in BWV 244.1: s. 7?)",E♭ maj. D maj.,SATB,4: 53,III/2.2: 55,after Z 5385a; text by Gerhardt,11358
244/25,4.,1727-04-11,"chorale setting ""Was mein Gott will, das gscheh allzeit"" (s. 1)",B min.,SATB,4: 83,III/2.2: 64,after Z 7568; text by Albert of Prussia,11353
244/32,4.,1727-04-11,"chorale setting ""In dich hab ich gehoffet, Herr"" (s. 5)",B♭ maj.,SATB,4: 151,III/2.2: 66,after Z 2461c; text by Reusner,11354
244/37,4.,1727-04-11,"chorale setting ""O Welt, sieh hier dein Leben"" (s. 3)",F maj.,SATB,4: 164,III/2.2: 29,after Z 2293b; text by Gerhardt,11352
244/37,4.,1727-04-11,"chorale setting ""In allen meinen Taten""",F maj.,SATB,4: 164,III/2.2: 29,after Z 2293b; text by Fleming,11352
244/40,4.,1727-04-11,"chorale setting ""Werde munter, mein Gemüte"" (s. 6)",A maj.,SATB,4: 173,III/2.1: 95 III/2.2: 68,after Z 6551; text by Rist,11254
244/40,4.,1727-04-11,"chorale setting ""Jesu, meiner Seelen Wonne""",A maj.,SATB,4: 173,III/2.1: 95 III/2.2: 68,after Z 6551; text by Janus,11254
244/44,4.,1727-04-11,"chorale setting ""Befiehl du deine Wege"" (s. 1)",D maj.,SATB,4: 186,III/2.2: 49,after Z 5385a; text by Gerhardt,11355
244/44,4.,1727-04-11,"chorale setting ""O Haupt voll Blut und Wunden""",D maj.,SATB,4: 186,III/2.2: 49,after Z 5385a; text by Gerhardt,11355
244/46,4.,1727-04-11,"chorale setting ""Herzliebster Jesu"" (s. 4)",B min.,SATB,4: 192,III/2.2: 59,after Z 983; text by Heermann,11350
244/54,4.,1727-04-11,"chorale setting ""O Haupt voll Blut und Wunden"" (ss. 1–2)",F maj.,SATB,4: 214,III/2.2: 41,after Z 5385a; text by Gerhardt,11356
244/62,4.,1727-04-11,"chorale setting ""O Haupt voll Blut und Wunden"" (s. 9)",A min. B min.,SATB,4: 248,III/2.2: 50,after Z 5385a; text by Gerhardt,11357
245.1,4.,1724-04-07,Passion St John Passion (1st version; Good Friday),G min.,satbSATB (2Fl?) 2Ob 2Odc Str 2Va Vdg Lu Bc,121 44: 26,II/4: 40,"after Z 983 (/3, /17), 2561 (/5), 2293b (/11), 6288a–b (/14, /28, /32), 6283b (/15, /37), 2383 (/22), 5404a (/26), 8326 (/40); text after Jh 18–19, Mt 26:75 (/12), Mk 15:38 (/33), by Heermann (/3, /17), Luther (/5), Brockes (/7, /19, /20, /24, /32, /34, /35, /39), Gerhardt (/11), Weise (/13), Stockmann (/14, /28, /32), Weiße (/15, /37), Postel (/19, /22, /30), Herberger (/26), Schalling (/40); → BWV 245.2–5",00307
245.1/3,4.,1724-04-07,"chorale setting ""Herzliebster Jesu"" (s. 7)",G min.,SATB,,III/2.1: 93,after Z 983; text by Heermann,11255
245/3,4.,c. 1740,"chorale setting ""Herzliebster Jesu"" (s. 7)",G min.,SATB,121: 17,III/2.2: 33,after Z 983; text by Heermann,11255
245.1/5,4.,1724-04-07,"chorale setting ""Vater unser im Himmelreich"" (s. 4)",D min.,SATB,,III/2.1: 94 III/2.2: 27,after Z 2561; text by Luther after Mt 6:9–13; ↔ BWV 416,11256
245/5,4.,c. 1740,"chorale setting ""Vater unser im Himmelreich"" (s. 4)",D min.,SATB,121: 18,,after Z 2561; text by Luther after Mt 6:9–13,11256
245/11,4.,1724-04-07,"chorale setting ""O Welt, sieh hier dein Leben"" (ss. 3–4)",A maj.,SATB,121: 31,III/2.1: 94 III/2.2: 35,after Z 2293b; text by Gerhardt; → BWV 395,11257
245/11,4.,1724-04-07,"chorale setting ""Nun ruhen alle Wälder""",A maj.,SATB,121: 31,III/2.1: 94 III/2.2: 35,after Z 2293b; text by Gerhardt; → BWV 395,11257
245/14,4.,1724-04-07,"chorale setting ""Jesu Leiden, Pein und Tod"" (s. 10)",A maj.,SATB,121: 39,III/2.2: 46,after Z 6288a–b; text by Stockmann,11273
245/15,4.,1724-04-07,"chorale setting ""Christus, der uns selig macht"" (s. 1)",A min.,SATB,121: 43,III/2.2: 44,"after Z 6283b; text by Weiße after ""Patris sapientia""",11274
245/17,4.,1724-04-07,"chorale setting ""Herzliebster Jesu"" (ss. 8–9)",A min.,SATB,121: 52,III/2.1: 95 III/2.2: 62,after Z 983; text by Heermann,11258
245/22,4.,1724-04-07,"chorale setting ""Durch dein Gefängnis Gottes Sohn""",E maj.,SATB,121: 74,III/2.2: 181,after Z 2383; text by Postel,11275
245/22,4.,1724-04-07,"chorale setting ""Machs mit mir, Gott, nach deiner Güt""",E maj.,SATB,121: 74,III/2.2: 181,after Z 2383; text by Schein,11275
